sample_id,reception_id,sample_point,sample_timestamp,water_content_pct,oil_content_pct,solids_content_pct,density_15c_kg_m3,viscosity_40c_cst,viscosity_100c_cst,flash_point_c,pour_point_c,sulfur_total_pct,ash_content_pct,carbon_residue_pct,vanadium_ppm,nickel_ppm,iron_ppm,sodium_ppm,aluminum_silicon_ppm,chloride_ppm,acid_number_mg_koh_g,calorific_value_gross_mj_kg,calorific_value_net_mj_kg,pcb_ppm,btex_ppm,h2s_ppm,emulsion_layer_pct,particle_size_d50_micron
LAB-PIR-2023-01834,REC-PIR-2023-00524,Inlet,2023-05-14 15:38:53,24.96,52.82,22.22,1013.9,13460.19,143.37,192.1,25.4,0.0587,0.179,17.03,1.9,0.6,218.5,93.5,49.8,286.5,1.036,21.2,19.87,0.0398,31.06,132.93,26.5,75.1
LAB-PIR-2023-01835,REC-PIR-2023-00524,Mid-Process,2023-05-15 06:38:53,10.04,71.47,18.49,965.7,8789.38,114.6,182.5,25.4,0.0587,0.179,17.03,1.9,0.6,218.5,93.5,49.8,286.5,1.036,30.29,28.38,0.0398,31.06,132.93,26.5,75.1
LAB-PIR-2023-01836,REC-PIR-2023-00524,Oil Output,2023-05-14 21:38:53,0.72,92.15,7.13,867.0,25.09,4.77,118.6,25.4,0.047,0.107,17.03,1.7,0.5,109.2,9.3,14.9,14.3,1.036,40.42,37.68,0.0398,31.06,13.29,2.7,75.1
LAB-PIR-2023-01837,REC-PIR-2023-00524,Water Output,2023-05-15 22:38:53,99.98,0.01,0.01,1024.5,3.84,1.7,,25.4,0.0587,0.179,17.03,1.9,0.6,218.5,93.5,49.8,286.5,1.036,0.01,0.01,0.0398,31.06,132.93,26.5,75.1
LAB-HAM-2023-00992,REC-HAM-2023-00285,Inlet,2023-05-15 11:23:11,31.88,36.02,32.1,1125.5,12343.83,137.0,111.9,-12.8,0.216,2.238,2.01,41.8,11.2,474.8,122.4,38.9,275.9,0.379,15.21,14.22,0.0353,24.76,7.86,24.1,156.1
LAB-HAM-2023-00993,REC-HAM-2023-00285,Mid-Process,2023-05-14 10:23:11,24.33,45.61,30.06,1049.3,7823.26,107.79,106.3,-12.8,0.216,2.238,2.01,41.8,11.2,474.8,122.4,38.9,275.9,0.379,19.3,18.24,0.0353,24.76,7.86,24.1,156.1
LAB-HAM-2023-00994,REC-HAM-2023-00285,Oil Output,2023-05-14 11:23:11,0.7,98.63,0.67,902.3,17.29,3.83,120.6,-12.8,0.1728,1.343,2.01,37.6,10.1,237.4,12.2,11.7,13.8,0.379,41.05,38.98,0.0353,24.76,0.79,2.4,156.1
LAB-MLT-2023-00537,REC-MLT-2023-00157,Inlet,2023-05-14 13:31:44,7.93,83.35,8.72,899.0,489.52,24.8,122.2,-11.8,0.4957,1.228,14.58,16.0,5.5,102.3,188.0,76.8,446.4,1.219,33.54,32.05,0.0479,33.18,145.37,0.2,30.3
LAB-MLT-2023-00538,REC-MLT-2023-00157,Mid-Process,2023-05-14 12:31:44,0.5,95.84,3.66,861.0,246.78,17.14,116.1,-11.8,0.4957,1.228,14.58,16.0,5.5,102.3,188.0,76.8,446.4,1.219,40.6,38.19,0.0479,33.18,145.37,0.2,30.3
LAB-MLT-2023-00539,REC-MLT-2023-00157,Oil Output,2023-05-15 00:31:44,0.51,96.68,2.81,904.6,69.75,8.55,135.2,-11.8,0.3966,0.737,14.58,14.4,5.0,51.1,18.8,23.0,22.3,1.219,42.59,40.58,0.0479,33.18,14.54,0.0,30.3
LAB-GIB-2023-00976,REC-GIB-2023-00285,Inlet,2023-05-14 13:14:01,20.37,23.51,56.12,1175.9,4689.44,82.32,105.7,-3.0,0.0611,1.303,7.76,3.1,1.3,408.6,227.5,46.1,446.5,0.494,9.91,9.42,0.0258,22.86,184.39,1.2,107.3
LAB-GIB-2023-00977,REC-GIB-2023-00285,Mid-Process,2023-05-14 18:14:01,15.63,44.9,39.47,1086.4,2818.5,62.93,100.4,-3.0,0.0611,1.303,7.76,3.1,1.3,408.6,227.5,46.1,446.5,0.494,19.34,18.1,0.0258,22.86,184.39,1.2,107.3
LAB-GIB-2023-00978,REC-GIB-2023-00285,Oil Output,2023-05-16 07:14:01,1.53,94.74,3.73,876.8,18.03,3.93,83.6,-3.0,0.0489,0.782,7.76,2.8,1.2,204.3,22.8,13.8,22.3,0.494,37.94,35.39,0.0258,22.86,18.44,0.1,107.3
LAB-PIR-2023-01838,REC-PIR-2023-00525,Inlet,2023-05-14 21:00:08,89.31,8.38,2.31,1003.3,39.23,6.17,61.3,15.1,0.0803,1.872,5.18,1.4,0.4,455.4,15126.7,32.3,142.4,1.15,3.46,3.22,0.0515,2.52,157.25,4.1,26.9
LAB-PIR-2023-01839,REC-PIR-2023-00525,Mid-Process,2023-05-16 01:00:08,84.68,14.16,1.16,995.4,22.29,4.45,58.2,15.1,0.0803,1.872,5.18,1.4,0.4,455.4,15126.7,32.3,142.4,1.15,5.92,5.63,0.0515,2.52,157.25,4.1,26.9
LAB-PIR-2023-01840,REC-PIR-2023-00525,Oil Output,2023-05-16 14:00:08,1.22,97.43,1.35,891.6,37.16,5.98,31.8,15.1,0.0642,1.123,5.18,1.3,0.4,227.7,1512.7,9.7,7.1,1.15,39.39,36.84,0.0515,2.52,15.73,0.4,26.9
LAB-PIR-2023-01841,REC-PIR-2023-00525,Water Output,2023-05-14 21:00:08,99.98,0.01,0.01,1022.6,1.8,1.18,,15.1,0.0803,1.872,5.18,1.4,0.4,455.4,15126.7,32.3,142.4,1.15,0.0,0.01,0.0515,2.52,157.25,4.1,26.9
LAB-GIB-2023-00979,REC-GIB-2023-00286,Inlet,2023-05-16 04:00:04,15.79,77.63,6.58,901.4,86.1,9.61,106.5,20.4,0.3109,0.193,16.06,14.0,4.8,336.1,318.5,35.1,181.5,2.035,33.52,31.73,0.0435,0.19,63.71,9.0,18.7
LAB-GIB-2023-00980,REC-GIB-2023-00286,Mid-Process,2023-05-15 01:00:04,5.31,90.73,3.96,880.7,56.62,7.6,101.2,20.4,0.3109,0.193,16.06,14.0,4.8,336.1,318.5,35.1,181.5,2.035,38.72,36.24,0.0435,0.19,63.71,9.0,18.7
LAB-GIB-2023-00981,REC-GIB-2023-00286,Oil Output,2023-05-14 22:00:04,2.87,96.22,0.91,920.2,17.62,3.87,107.3,20.4,0.2487,0.116,16.06,12.6,4.3,168.1,31.9,10.5,9.1,2.035,41.09,39.08,0.0435,0.19,6.37,0.9,18.7
LAB-GIB-2023-00982,REC-GIB-2023-00286,Water Output,2023-05-16 04:00:04,99.95,0.04,0.01,1006.2,1.66,1.16,,20.4,0.3109,0.193,16.06,14.0,4.8,336.1,318.5,35.1,181.5,2.035,0.02,0.02,0.0435,0.19,63.71,9.0,18.7
LAB-HAM-2023-00995,REC-HAM-2023-00286,Inlet,2023-05-16 19:09:40,91.42,4.96,3.62,1025.1,42.88,6.49,77.8,12.3,0.0669,1.71,15.26,2.3,0.5,156.9,29809.7,54.2,16640.4,2.414,2.13,1.99,0.0305,38.53,96.54,4.5,31.2
LAB-HAM-2023-00996,REC-HAM-2023-00286,Mid-Process,2023-05-16 15:09:40,83.83,14.44,1.73,1002.5,26.14,4.88,73.9,12.3,0.0669,1.71,15.26,2.3,0.5,156.9,29809.7,54.2,16640.4,2.414,5.91,5.62,0.0305,38.53,96.54,4.5,31.2
LAB-HAM-2023-00997,REC-HAM-2023-00286,Oil Output,2023-05-15 04:09:40,2.53,97.84,0.01,902.7,65.61,8.26,43.3,12.3,0.0535,1.026,15.26,2.1,0.5,78.5,2981.0,16.3,832.0,2.414,41.95,39.43,0.0305,38.53,9.65,0.5,31.2
LAB-MLT-2023-00540,REC-MLT-2023-00158,Inlet,2023-05-16 23:12:34,90.03,6.84,3.13,1010.3,17.28,3.83,67.4,24.4,0.0964,2.28,10.2,1.0,0.4,141.6,15830.9,22.3,15798.0,3.073,2.88,2.72,0.0257,31.81,24.66,5.3,36.4
LAB-MLT-2023-00541,REC-MLT-2023-00158,Mid-Process,2023-05-16 21:12:34,75.49,24.5,0.01,975.2,8.05,2.41,64.0,24.4,0.0964,2.28,10.2,1.0,0.4,141.6,15830.9,22.3,15798.0,3.073,10.4,9.91,0.0257,31.81,24.66,5.3,36.4
LAB-MLT-2023-00542,REC-MLT-2023-00158,Oil Output,2023-05-15 23:12:34,2.41,95.39,2.2,914.3,7.44,2.29,91.9,24.4,0.0771,1.368,10.2,0.9,0.4,70.8,1583.1,6.7,789.9,3.073,40.06,37.84,0.0257,31.81,2.47,0.5,36.4
LAB-GIB-2023-00983,REC-GIB-2023-00287,Inlet,2023-05-16 09:44:48,87.01,8.55,4.44,1019.6,48.31,6.95,56.1,7.3,0.0744,1.243,4.09,3.9,1.5,97.3,8330.4,5.3,469.5,0.55,3.71,3.55,0.0753,6.3,27.43,6.0,42.1
LAB-GIB-2023-00984,REC-GIB-2023-00287,Mid-Process,2023-05-15 20:44:48,80.0,17.32,2.68,991.6,24.19,4.67,53.3,7.3,0.0744,1.243,4.09,3.9,1.5,97.3,8330.4,5.3,469.5,0.55,7.63,7.12,0.0753,6.3,27.43,6.0,42.1
LAB-GIB-2023-00985,REC-GIB-2023-00287,Oil Output,2023-05-16 21:44:48,2.54,95.2,2.26,844.4,29.53,5.24,62.0,7.3,0.0595,0.746,4.09,3.5,1.4,48.6,833.0,1.6,23.5,0.55,38.14,36.4,0.0753,6.3,2.74,0.6,42.1
LAB-GIB-2023-00986,REC-GIB-2023-00287,Water Output,2023-05-16 00:44:48,99.97,0.02,0.01,1004.0,4.05,1.55,,7.3,0.0744,1.243,4.09,3.9,1.5,97.3,8330.4,5.3,469.5,0.55,0.01,0.01,0.0753,6.3,27.43,6.0,42.1
LAB-PIR-2023-01842,REC-PIR-2023-00526,Inlet,2023-05-16 16:34:20,24.81,39.61,35.58,1026.7,9083.72,116.6,196.7,-1.1,0.4352,2.379,6.3,34.0,14.4,231.2,264.4,52.1,111.9,2.285,17.21,16.23,0.0823,11.05,119.33,38.2,126.4
LAB-PIR-2023-01843,REC-PIR-2023-00526,Mid-Process,2023-05-16 22:34:20,13.73,55.43,30.84,1026.6,5466.7,89.25,186.9,-1.1,0.4352,2.379,6.3,34.0,14.4,231.2,264.4,52.1,111.9,2.285,23.91,22.93,0.0823,11.05,119.33,38.2,126.4
LAB-PIR-2023-01844,REC-PIR-2023-00526,Oil Output,2023-05-16 05:34:20,0.19,98.2,1.61,923.1,39.46,6.19,200.6,-1.1,0.3482,1.427,6.3,30.6,13.0,115.6,26.4,15.6,5.6,2.285,42.78,40.53,0.0823,11.05,11.93,3.8,126.4
LAB-MLT-2023-00543,REC-MLT-2023-00159,Inlet,2023-05-16 05:37:53,51.71,38.68,9.61,1005.1,174.98,14.21,94.1,16.5,0.0719,2.462,13.88,3.8,1.5,449.4,166.2,50.3,129.2,4.968,16.73,15.66,0.0994,28.77,160.25,12.6,12.8
LAB-MLT-2023-00544,REC-MLT-2023-00159,Mid-Process,2023-05-16 15:37:53,35.9,58.45,5.65,937.2,77.18,9.05,89.4,16.5,0.0719,2.462,13.88,3.8,1.5,449.4,166.2,50.3,129.2,4.968,25.73,24.32,0.0994,28.77,160.25,12.6,12.8
LAB-MLT-2023-00545,REC-MLT-2023-00159,Oil Output,2023-05-16 23:37:53,0.25,98.4,1.35,922.4,6.65,2.14,169.1,16.5,0.0575,1.477,13.88,3.4,1.4,224.7,16.6,15.1,6.5,4.968,40.44,38.42,0.0994,28.77,16.03,1.3,12.8
LAB-MLT-2023-00546,REC-MLT-2023-00159,Water Output,2023-05-15 15:37:53,99.98,0.01,0.01,1002.2,4.34,0.66,,16.5,0.0719,2.462,13.88,3.8,1.5,449.4,166.2,50.3,129.2,4.968,0.0,0.0,0.0994,28.77,160.25,12.6,12.8
LAB-PIR-2023-01845,REC-PIR-2023-00527,Inlet,2023-05-16 21:54:55,90.84,6.17,2.99,1015.7,46.63,6.81,31.5,18.0,0.0571,1.481,9.32,1.6,0.7,148.1,27559.6,53.6,22313.6,1.588,2.58,2.45,0.0705,11.8,41.25,3.7,15.6
LAB-PIR-2023-01846,REC-PIR-2023-00527,Mid-Process,2023-05-16 21:54:55,83.02,15.95,1.03,992.7,20.85,4.28,29.9,18.0,0.0571,1.481,9.32,1.6,0.7,148.1,27559.6,53.6,22313.6,1.588,7.03,6.57,0.0705,11.8,41.25,3.7,15.6
LAB-PIR-2023-01847,REC-PIR-2023-00527,Oil Output,2023-05-17 03:54:55,2.27,95.95,1.78,887.8,43.02,6.51,70.7,18.0,0.0457,0.889,9.32,1.4,0.6,74.0,2756.0,16.1,1115.7,1.588,40.29,38.44,0.0705,11.8,4.12,0.4,15.6
LAB-PIR-2023-01848,REC-PIR-2023-00527,Water Output,2023-05-16 14:54:55,99.94,0.05,0.01,1008.2,2.68,1.37,,18.0,0.0571,1.481,9.32,1.6,0.7,148.1,27559.6,53.6,22313.6,1.588,0.02,0.02,0.0705,11.8,41.25,3.7,15.6
LAB-MLT-2023-00547,REC-MLT-2023-00160,Inlet,2023-05-15 19:05:40,89.16,6.71,4.13,1008.6,6.55,2.12,63.4,11.5,3.0073,0.216,2.01,443.5,135.1,184.8,28723.1,73.2,9719.9,4.233,2.79,2.68,0.0484,39.36,86.54,9.3,39.7
LAB-MLT-2023-00548,REC-MLT-2023-00160,Mid-Process,2023-05-15 21:05:40,84.17,12.95,2.88,1008.3,4.08,1.57,60.2,11.5,3.0073,0.216,2.01,443.5,135.1,184.8,28723.1,73.2,9719.9,4.233,5.47,5.19,0.0484,39.36,86.54,9.3,39.7
LAB-MLT-2023-00549,REC-MLT-2023-00160,Oil Output,2023-05-16 19:05:40,0.31,93.14,6.55,867.3,69.31,8.52,42.8,11.5,2.4058,0.13,2.01,399.2,121.6,92.4,2872.3,22.0,486.0,4.233,38.6,36.67,0.0484,39.36,8.65,0.9,39.7
LAB-PIR-2023-01849,REC-PIR-2023-00528,Inlet,2023-05-15 19:29:56,89.59,6.78,3.63,1011.9,39.59,6.21,43.5,30.0,0.091,2.489,17.77,2.0,0.6,488.8,18263.3,38.7,387.6,2.032,2.78,2.64,0.0293,19.19,174.71,10.0,21.3
LAB-PIR-2023-01850,REC-PIR-2023-00528,Mid-Process,2023-05-17 14:29:56,75.1,24.89,0.01,969.3,26.41,4.91,41.3,30.0,0.091,2.489,17.77,2.0,0.6,488.8,18263.3,38.7,387.6,2.032,10.26,9.59,0.0293,19.19,174.71,10.0,21.3
LAB-PIR-2023-01851,REC-PIR-2023-00528,Oil Output,2023-05-17 13:29:56,2.79,97.25,0.01,850.9,14.62,3.47,95.0,30.0,0.0728,1.493,17.77,1.8,0.5,244.4,1826.3,11.6,19.4,2.032,39.46,37.28,0.0293,19.19,17.47,1.0,21.3
LAB-GIB-2023-00987,REC-GIB-2023-00288,Inlet,2023-05-16 11:01:57,91.68,2.9,5.42,1025.7,7.57,2.32,39.9,5.0,3.0523,1.362,9.43,100.7,29.4,75.3,24303.8,19.0,282.4,0.171,1.19,1.11,0.0505,1.12,120.73,5.9,42.5
LAB-GIB-2023-00988,REC-GIB-2023-00288,Mid-Process,2023-05-16 02:01:57,86.08,9.91,4.01,1012.9,3.83,1.5,37.9,5.0,3.0523,1.362,9.43,100.7,29.4,75.3,24303.8,19.0,282.4,0.171,4.11,3.87,0.0505,1.12,120.73,5.9,42.5
LAB-GIB-2023-00989,REC-GIB-2023-00288,Oil Output,2023-05-17 15:01:57,2.99,96.93,0.08,892.8,66.1,8.29,73.9,5.0,2.4418,0.817,9.43,90.6,26.5,37.6,2430.4,5.7,14.1,0.171,40.93,38.75,0.0505,1.12,12.07,0.6,42.5
LAB-GIB-2023-00990,REC-GIB-2023-00288,Solids Output,2023-05-16 19:01:57,5.64,3.04,91.32,1787.5,,,,5.0,3.0523,1.362,9.43,100.7,29.4,75.3,24303.8,19.0,282.4,0.171,1.24,1.24,0.0505,1.12,120.73,5.9,42.5
LAB-PIR-2023-01852,REC-PIR-2023-00529,Inlet,2023-05-16 09:48:34,33.4,36.41,30.19,1021.0,4040.46,76.11,125.3,8.0,4.0393,0.285,13.99,259.8,91.9,416.2,377.2,75.4,170.5,2.982,15.3,14.62,0.0583,11.42,165.89,44.1,77.8
LAB-PIR-2023-01853,REC-PIR-2023-00529,Mid-Process,2023-05-16 03:48:34,23.84,48.36,27.8,1021.8,1793.26,49.54,119.0,8.0,4.0393,0.285,13.99,259.8,91.9,416.2,377.2,75.4,170.5,2.982,20.59,19.47,0.0583,11.42,165.89,44.1,77.8
LAB-PIR-2023-01854,REC-PIR-2023-00529,Oil Output,2023-05-17 22:48:34,1.29,93.59,5.12,859.2,61.95,8.0,83.1,8.0,3.2314,0.171,13.99,233.8,82.7,208.1,37.7,22.6,8.5,2.982,37.83,35.59,0.0583,11.42,16.59,4.4,77.8
LAB-PIR-2023-01855,REC-PIR-2023-00530,Inlet,2023-05-16 18:41:10,41.9,46.7,11.4,984.2,72.95,8.76,119.7,-7.8,4.0197,2.742,2.41,342.6,128.1,164.4,229.5,25.0,483.2,1.118,19.47,18.34,0.0645,33.15,0.23,15.5,49.7
LAB-PIR-2023-01856,REC-PIR-2023-00530,Mid-Process,2023-05-18 00:41:10,27.44,64.78,7.78,970.6,48.34,6.95,113.7,-7.8,4.0197,2.742,2.41,342.6,128.1,164.4,229.5,25.0,483.2,1.118,26.17,24.47,0.0645,33.15,0.23,15.5,49.7
LAB-PIR-2023-01857,REC-PIR-2023-00530,Oil Output,2023-05-16 23:41:10,0.49,94.77,4.74,880.2,48.35,6.95,156.4,-7.8,3.2158,1.645,2.41,308.3,115.3,82.2,23.0,7.5,24.2,1.118,40.32,38.63,0.0645,33.15,0.02,1.6,49.7
LAB-PIR-2023-01858,REC-PIR-2023-00530,Water Output,2023-05-16 08:41:10,99.95,0.04,0.01,1003.6,3.1,1.59,,-7.8,4.0197,2.742,2.41,342.6,128.1,164.4,229.5,25.0,483.2,1.118,0.02,0.02,0.0645,33.15,0.23,15.5,49.7
LAB-MLT-2023-00550,REC-MLT-2023-00161,Inlet,2023-05-18 08:57:08,18.62,56.24,25.14,1026.3,13103.52,141.36,83.4,11.6,3.6852,0.986,7.55,392.2,155.8,343.0,134.7,73.8,296.6,4.452,23.8,22.32,0.0892,12.66,104.08,50.8,171.4
LAB-MLT-2023-00551,REC-MLT-2023-00161,Mid-Process,2023-05-16 13:57:08,8.08,69.41,22.51,1026.5,6512.25,97.87,79.2,11.6,3.6852,0.986,7.55,392.2,155.8,343.0,134.7,73.8,296.6,4.452,27.71,26.52,0.0892,12.66,104.08,50.8,171.4
LAB-MLT-2023-00552,REC-MLT-2023-00161,Oil Output,2023-05-17 23:57:08,0.2,95.08,4.72,922.7,11.28,2.96,171.5,11.6,2.9482,0.592,7.55,353.0,140.2,171.5,13.5,22.1,14.8,4.452,40.04,37.91,0.0892,12.66,10.41,5.1,171.4
LAB-MLT-2023-00553,REC-MLT-2023-00161,Water Output,2023-05-18 05:57:08,99.95,0.04,0.01,1017.5,3.76,1.14,,11.6,3.6852,0.986,7.55,392.2,155.8,343.0,134.7,73.8,296.6,4.452,0.02,0.02,0.0892,12.66,104.08,50.8,171.4
LAB-PIR-2023-01859,REC-PIR-2023-00531,Inlet,2023-05-17 23:51:35,93.53,5.09,1.38,1012.0,36.05,5.88,52.0,-5.5,2.3083,2.43,6.2,198.7,77.9,362.5,22648.8,58.6,323.6,1.314,2.21,2.11,0.0956,48.04,170.76,8.8,28.4
LAB-PIR-2023-01860,REC-PIR-2023-00531,Mid-Process,2023-05-17 02:51:35,77.08,22.91,0.01,986.8,16.95,3.79,49.4,-5.5,2.3083,2.43,6.2,198.7,77.9,362.5,22648.8,58.6,323.6,1.314,9.62,8.96,0.0956,48.04,170.76,8.8,28.4
LAB-PIR-2023-01861,REC-PIR-2023-00531,Oil Output,2023-05-18 00:51:35,2.54,94.84,2.62,922.6,20.72,4.26,82.3,-5.5,1.8466,1.458,6.2,178.8,70.1,181.2,2264.9,17.6,16.2,1.314,37.98,36.06,0.0956,48.04,17.08,0.9,28.4
LAB-PIR-2023-01862,REC-PIR-2023-00532,Inlet,2023-05-17 12:10:56,87.9,9.72,2.38,1020.8,7.22,2.25,70.6,8.2,0.2799,2.336,8.18,2.7,0.8,128.3,26922.5,53.5,353.3,0.868,4.11,3.94,0.0576,39.02,127.78,3.0,32.4
LAB-PIR-2023-01863,REC-PIR-2023-00532,Mid-Process,2023-05-17 17:10:56,80.76,18.64,0.6,996.0,3.71,1.47,67.1,8.2,0.2799,2.336,8.18,2.7,0.8,128.3,26922.5,53.5,353.3,0.868,8.13,7.77,0.0576,39.02,127.78,3.0,32.4
LAB-PIR-2023-01864,REC-PIR-2023-00532,Oil Output,2023-05-17 20:10:56,1.26,92.52,6.22,905.8,75.55,8.94,51.4,8.2,0.2239,1.402,8.18,2.4,0.7,64.2,2692.2,16.1,17.7,0.868,39.04,36.96,0.0576,39.02,12.78,0.3,32.4
LAB-PIR-2023-01865,REC-PIR-2023-00532,Solids Output,2023-05-16 23:10:56,20.63,10.69,68.68,1640.4,,,,8.2,0.2799,2.336,8.18,2.7,0.8,128.3,26922.5,53.5,353.3,0.868,4.4,4.35,0.0576,39.02,127.78,3.0,32.4
LAB-GIB-2023-00991,REC-GIB-2023-00289,Inlet,2023-05-17 05:49:19,90.08,7.31,2.61,1010.2,47.44,6.88,64.7,-0.1,3.5055,1.418,13.82,566.6,226.1,140.6,5145.6,75.4,7411.2,2.743,3.14,2.99,0.0065,2.56,141.34,2.6,12.2
LAB-GIB-2023-00992,REC-GIB-2023-00289,Mid-Process,2023-05-17 10:49:19,83.49,15.54,0.97,993.5,19.0,4.05,61.5,-0.1,3.5055,1.418,13.82,566.6,226.1,140.6,5145.6,75.4,7411.2,2.743,6.65,6.34,0.0065,2.56,141.34,2.6,12.2
LAB-GIB-2023-00993,REC-GIB-2023-00289,Oil Output,2023-05-18 15:49:19,1.18,92.14,6.68,935.3,54.15,7.41,70.8,-0.1,2.8044,0.851,13.82,509.9,203.5,70.3,514.6,22.6,370.6,2.743,40.62,38.68,0.0065,2.56,14.13,0.3,12.2
LAB-PIR-2023-01866,REC-PIR-2023-00533,Inlet,2023-05-17 18:11:16,88.68,6.17,5.15,1015.0,33.84,5.67,71.8,-12.9,2.6575,1.814,8.61,590.3,137.8,284.8,29833.8,66.7,230.0,3.059,2.54,2.38,0.066,31.13,166.17,4.5,39.4
LAB-PIR-2023-01867,REC-PIR-2023-00533,Mid-Process,2023-05-17 10:11:16,78.23,19.23,2.54,992.4,20.73,4.26,68.2,-12.9,2.6575,1.814,8.61,590.3,137.8,284.8,29833.8,66.7,230.0,3.059,7.9,7.56,0.066,31.13,166.17,4.5,39.4
LAB-PIR-2023-01868,REC-PIR-2023-00533,Oil Output,2023-05-18 02:11:16,2.66,96.05,1.29,920.2,72.25,8.72,45.4,-12.9,2.126,1.088,8.61,531.3,124.0,142.4,2983.4,20.0,11.5,3.059,38.6,36.9,0.066,31.13,16.62,0.5,39.4
LAB-HAM-2023-00998,REC-HAM-2023-00287,Inlet,2023-05-18 08:30:22,27.9,51.54,20.56,1036.4,3165.52,66.91,181.2,-7.6,0.0992,1.725,6.06,1.5,0.5,172.3,460.2,11.6,373.3,0.744,20.8,19.78,0.0488,30.54,184.67,36.3,59.0
LAB-HAM-2023-00999,REC-HAM-2023-00287,Mid-Process,2023-05-17 21:30:22,13.52,69.52,16.96,953.5,1605.33,46.71,172.1,-7.6,0.0992,1.725,6.06,1.5,0.5,172.3,460.2,11.6,373.3,0.744,30.03,28.54,0.0488,30.54,184.67,36.3,59.0
LAB-HAM-2023-01000,REC-HAM-2023-00287,Oil Output,2023-05-18 17:30:22,0.52,96.79,2.69,859.4,56.52,7.59,132.9,-7.6,0.0794,1.035,6.06,1.4,0.5,86.2,46.0,3.5,18.7,0.744,39.14,37.45,0.0488,30.54,18.47,3.6,59.0
LAB-MLT-2023-00554,REC-MLT-2023-00162,Inlet,2023-05-18 01:27:17,91.66,4.8,3.54,1014.3,9.46,2.66,59.8,5.4,0.3925,2.062,5.93,26.0,8.6,250.7,6973.7,65.6,218.0,1.409,2.0,1.88,0.0312,2.73,30.41,5.5,35.3
LAB-MLT-2023-00555,REC-MLT-2023-00162,Mid-Process,2023-05-18 06:27:17,85.82,12.1,2.08,997.9,4.28,1.61,56.8,5.4,0.3925,2.062,5.93,26.0,8.6,250.7,6973.7,65.6,218.0,1.409,4.92,4.6,0.0312,2.73,30.41,5.5,35.3
LAB-MLT-2023-00556,REC-MLT-2023-00162,Oil Output,2023-05-18 23:27:17,2.29,98.92,0.01,866.2,49.78,7.07,42.1,5.4,0.314,1.237,5.93,23.4,7.7,125.3,697.4,19.7,10.9,1.409,42.52,39.56,0.0312,2.73,3.04,0.6,35.3
LAB-PIR-2023-01869,REC-PIR-2023-00534,Inlet,2023-05-18 18:25:48,89.09,7.68,3.23,1014.2,9.41,2.65,45.5,29.2,0.3638,1.482,16.55,16.4,4.0,406.6,16601.6,23.2,18204.4,0.508,3.28,3.15,0.0387,11.15,173.86,7.3,34.8
LAB-PIR-2023-01870,REC-PIR-2023-00534,Mid-Process,2023-05-18 07:25:48,76.49,23.43,0.08,958.8,6.45,2.1,43.2,29.2,0.3638,1.482,16.55,16.4,4.0,406.6,16601.6,23.2,18204.4,0.508,9.73,9.26,0.0387,11.15,173.86,7.3,34.8
LAB-PIR-2023-01871,REC-PIR-2023-00534,Oil Output,2023-05-18 00:25:48,2.39,95.66,1.95,894.9,73.7,8.82,36.5,29.2,0.291,0.889,16.55,14.8,3.6,203.3,1660.2,7.0,910.2,0.508,40.94,38.16,0.0387,11.15,17.39,0.7,34.8
LAB-PIR-2023-01872,REC-PIR-2023-00534,Solids Output,2023-05-17 21:25:48,15.4,2.32,82.28,1507.5,,,,29.2,0.3638,1.482,16.55,16.4,4.0,406.6,16601.6,23.2,18204.4,0.508,0.94,0.94,0.0387,11.15,173.86,7.3,34.8
LAB-PIR-2023-01873,REC-PIR-2023-00535,Inlet,2023-05-17 14:54:07,26.24,45.5,28.26,1066.6,11850.18,134.09,87.2,15.1,0.0537,2.559,3.96,4.4,1.3,121.6,462.9,64.1,442.1,2.613,19.29,17.99,0.0021,11.47,121.31,34.1,124.9
LAB-PIR-2023-01874,REC-PIR-2023-00535,Mid-Process,2023-05-19 00:54:07,14.19,60.56,25.25,995.0,7477.31,105.25,82.8,15.1,0.0537,2.559,3.96,4.4,1.3,121.6,462.9,64.1,442.1,2.613,26.48,24.86,0.0021,11.47,121.31,34.1,124.9
LAB-PIR-2023-01875,REC-PIR-2023-00535,Oil Output,2023-05-19 03:54:07,0.85,98.11,1.04,853.7,33.83,5.67,165.3,15.1,0.043,1.535,3.96,4.0,1.2,60.8,46.3,19.2,22.1,2.613,39.26,37.62,0.0021,11.47,12.13,3.4,124.9
LAB-HAM-2023-01001,REC-HAM-2023-00288,Inlet,2023-05-17 20:22:55,28.05,62.27,9.68,912.7,165.74,13.79,145.0,-0.2,0.0578,0.436,16.1,3.2,1.2,237.0,377.6,47.9,134.7,1.741,25.3,23.74,0.0707,25.8,131.1,37.7,42.2
LAB-HAM-2023-01002,REC-HAM-2023-00288,Mid-Process,2023-05-18 11:22:55,20.15,72.14,7.71,967.6,67.56,8.4,137.8,-0.2,0.0578,0.436,16.1,3.2,1.2,237.0,377.6,47.9,134.7,1.741,31.78,30.38,0.0707,25.8,131.1,37.7,42.2
LAB-HAM-2023-01003,REC-HAM-2023-00288,Oil Output,2023-05-19 12:22:55,2.53,92.32,5.15,928.2,59.08,7.79,128.4,-0.2,0.0462,0.262,16.1,2.9,1.1,118.5,37.8,14.4,6.7,1.741,40.65,37.92,0.0707,25.8,13.11,3.8,42.2
